Key,SpritePath,Width,Height,NumFrames
0,/Interface/TitleScreen/sprScanlines,32,32,1
3,/Interface/TitleScreen/sprPalmTree1,160,160,10
4,/Interface/TitleScreen/sprPalmTree2,130,144,10
5,/Interface/TitleScreen/sprPalmTree3,160,160,6
6,/Interface/TitleScreen/sprPalmTree4,128,144,6
8,/Interface/TitleScreen/sprHouses,104,251,16
9,/PlayerCharacters/PigButcher/Walk/sprPigWalkBat,34,32,8
10,/PlayerCharacters/PigButcher/Walk/sprPigWalkDoubleBarrel,32,32,8
11,/PlayerCharacters/PigButcher/Walk/sprPigWalkHammer,32,32,8
12,/PlayerCharacters/PigButcher/Walk/sprPigWalkUnarmed,32,32,8
13,/PlayerCharacters/PigButcher/Attack/sprPigAttackBat,44,44,9
14,/PlayerCharacters/PigButcher/Attack/sprPigAttackDoubleBarrel1,60,32,6
15,/PlayerCharacters/PigButcher/Attack/sprPigAttackDoubleBarrel2,60,32,6
16,/PlayerCharacters/PigButcher/Attack/sprPigAttackHammer,40,40,9
17,/PlayerCharacters/PigButcher/Finish/sprPigKillHeadbutt,32,32,10
18,/PlayerCharacters/PigButcher/Dead/sprPigDeadBlunt,60,60,5
19,/PlayerCharacters/PigButcher/Finish/sprPigKillBat,44,44,8
20,/PlayerCharacters/PigButcher/Finish/sprPigKillHammer,32,32,8
21,/PlayerCharacters/PigButcher/Finish/sprPigKillRape,55,32,22
22,/PlayerCharacters/PigButcher/Finish/sprPigKillStomp,32,32,11
23,/PlayerCharacters/PigButcher/Finish/sprPigKillWall1,44,48,10
24,/PlayerCharacters/PigButcher/Finish/sprPigKillWall2,44,48,10
25,/PlayerCharacters/PigButcher/Finish/sprPigKillWall3,44,48,10
26,/PlayerCharacters/PigButcher/Finish/sprPigKillWall4,44,48,10
27,/Enemies/PigButcher/Attack/sprVictim2AttackBat,48,48,9
28,/Enemies/PigButcher/GetUp/sprVictim1GetUp,60,32,7
29,/Enemies/PigButcher/GetUp/sprVictim1GetUpLean,48,32,5
30,/Enemies/PigButcher/Idle/sprVictim1Idle,32,32,24
31,/Enemies/PigButcher/Walk/sprVictim1Walk,32,32,8
32,/Enemies/PigButcher/Walk/sprVictim2Walk,32,32,8
33,/Enemies/PigButcher/Walk/sprVictim3Walk,32,32,8
34,/Enemies/PigButcher/Walk/sprVictim5Walk,32,32,8
35,/Enemies/PigButcher/GetUp/sprVictim2GetUp,60,32,7
36,/Enemies/PigButcher/GetUp/sprVictim3GetUp,60,32,7
37,/Enemies/PigButcher/GetUp/sprVictim5Crawl,60,40,10
38,/Enemies/PigButcher/Idle/sprVictim3Idle,32,32,12
39,/Enemies/PigButcher/Idle/sprVictim5Idle,32,32,20
40,/Enemies/PigButcher/Walk/sprVictim2WalkBat,32,32,8
41,/Enemies/PigButcher/Idle/sprVictim1Idle2,30,20,5
42,/Enemies/PigButcher/Dead/sprVictim1DeadBlunt,54,34,1
43,/Enemies/PigButcher/Dead/sprVictim1DeadShot,58,22,1
44,/Enemies/PigButcher/Dead/sprVictim1DeadWall,26,31,1
45,/Enemies/PigButcher/Dead/sprVictim1KillBlunt,60,50,12
46,/Enemies/PigButcher/Dead/sprVictim1KillStomp,60,50,4
47,/Enemies/PigButcher/Dead/sprVictim2DeadBlunt,54,22,1
48,/Enemies/PigButcher/Dead/sprVictim2DeadShot,43,27,1
49,/Enemies/PigButcher/Dead/sprVictim2DeadWall,25,31,1
50,/Enemies/PigButcher/Dead/sprVictim2KillBlunt,60,56,12
51,/Enemies/PigButcher/Dead/sprVictim2KillStomp,60,56,4
52,/Enemies/PigButcher/Dead/sprVictim3DeadBlunt,64,32,1
53,/Enemies/PigButcher/Dead/sprVictim3DeadShot,49,29,1
54,/Enemies/PigButcher/Dead/sprVictim3KillBlunt,60,32,12
55,/Enemies/PigButcher/Dead/sprVictim3KillStomp,60,32,4
56,/Enemies/PigButcher/Dead/sprVictim3Hat,10,6,1
57,/Enemies/PigButcher/Dead/sprVictim4DeadBlunt,60,32,1
58,/Enemies/PigButcher/Dead/sprVictim4DeadShot,42,50,1
59,/Enemies/PigButcher/Dead/sprVictim4KillStomp,60,60,4
60,/Interface/Editor/sprLabels,58,17,2
61,/Interface/TitleScreen/sprNoise,160,160,1
62,/Walls/sprWallH,32,8,1
63,/Walls/sprWallV,8,32,1
64,/Interface/Editor/sprEditorMask,8,8,1
66,/Enemies/Mafia/Walk/sprEMafiaWalkClub,24,40,8
67,/Enemies/Mafia/Walk/sprEMafiaWalkBat,24,40,8
68,/Enemies/Mafia/Walk/sprEMafiaWalkDoubleBarrel,44,24,8
69,/Enemies/Mafia/Walk/sprEMafiaWalkShotgun,36,24,8
70,/Enemies/Mafia/Walk/sprEMafiaWalkM16,32,24,8
71,/Interface/Editor/sprCheckbox,16,16,2
72,/Interface/Editor/sprCursor,13,13,13
73,/Enemies/Mafia/Walk/sprEMafiaWalkKnife,32,32,8
74,/Enemies/Mafia/Walk/sprEMafiaWalkPipe,24,32,8
75,/Enemies/Mafia/Walk/sprEMafiaWalkSilencer,44,24,8
76,/Enemies/Mafia/Walk/sprEMafiaLegs,32,32,16
77,/Interface/Editor/sprEditorIcons,24,24,7
78,/Interface/Editor/sprSkeleton1,32,32,1
79,/Interface/Editor/sprSkeleton2,32,32,1
80,/Interface/Part/sprBird,12,12,5
81,/Interface/Part/sprCloud,220,128,2
82,/Interface/CityChapter/sprTextBlood,16,16,33
83,/Interface/CityChapter/sprTextBloodHighlight,16,16,33
84,/Interface/CityChapter/sprPalmTrees,64,160,5
86,/Interface/CityChapter/sprMoon,160,160,1
87,/Walls/sprWindowLeft,12,32,1
88,/Walls/sprWindowRight,12,32,1
89,/Walls/sprWindowUp,32,32,1
90,/Walls/sprWindowDown,32,32,1
91,/Walls/sprDoorV,6,33,1
92,/Walls/sprDoorH,32,4,1
93,/Interface/CityChapter/sprSea,96,48,46
94,/Interface/CityChapter/sprSeaGlimmer,12,2,12
95,/Interface/CityChapter/sprSkylineBack,160,64,3
96,/Interface/CityChapter/sprSkylineFront,160,64,3
97,/Walls/sprSoftWallV,8,32,1
98,/Walls/sprSoftWallH,32,8,1
99,/Walls/sprBrickWallH,32,8,1
100,/Walls/sprBrickWallV,8,32,1
101,/PlayerCharacters/PigButcher/Walk/sprPigLegs,32,32,16
102,/Effects/Blood/sprBloodPool,48,48,47
103,/Effects/Light/sprPiglight1,488,296,2
104,/Effects/Smoke/sprPigsmoke,488,296,3
